oid,cid,pid,cat,qty,price
0,c0,p0,elec,1,5
1,c1,p1,books,2,22
2,c2,p2,home,3,39
3,c3,p3,cloth,4,56
4,c4,p4,food,5,73
5,c5,p5,toys,1,90
6,c6,p6,beauty,2,107
7,c7,p7,sport,3,124
8,c8,p8,elec,4,141
9,c9,p9,books,5,158
10,c10,p10,home,1,175
11,c11,p11,cloth,2,192
12,c12,p12,food,3,9
13,c13,p13,toys,4,26
14,c14,p14,beauty,5,43
15,c15,p15,sport,1,60
16,c16,p16,elec,2,77
17,c17,p17,books,3,94
18,c18,p18,home,4,111
19,c19,p19,cloth,5,128
20,c20,p20,food,1,145
21,c21,p21,toys,2,162
22,c22,p22,beauty,3,179
23,c23,p23,sport,4,196
24,c24,p24,elec,5,13
25,c25,p25,books,1,30
26,c26,p26,home,2,47
27,c27,p27,cloth,3,64
28,c28,p28,food,4,81
29,c29,p29,toys,5,98
30,c30,p30,beauty,1,115
31,c31,p31,sport,2,132
32,c32,p32,elec,3,149
33,c33,p33,books,4,166
34,c34,p34,home,5,183
35,c35,p35,cloth,1,200
36,c36,p36,food,2,17
37,c37,p37,toys,3,34
38,c38,p38,beauty,4,51
39,c39,p39,sport,5,68
40,c40,p40,elec,1,85
41,c41,p41,books,2,102
42,c42,p42,home,3,119
43,c43,p43,cloth,4,136
44,c44,p44,food,5,153
45,c45,p45,toys,1,170
46,c46,p46,beauty,2,187
47,c47,p47,sport,3,204
48,c48,p48,elec,4,21
49,c49,p49,books,5,38
50,c50,p50,home,1,55
51,c51,p51,cloth,2,72
52,c52,p52,food,3,89
53,c53,p53,toys,4,106
54,c54,p54,beauty,5,123
55,c55,p55,sport,1,140
56,c56,p56,elec,2,157
57,c57,p57,books,3,174
58,c58,p58,home,4,191
59,c59,p59,cloth,5,8
60,c60,p60,food,1,25
61,c61,p61,toys,2,42
62,c62,p62,beauty,3,59
63,c63,p63,sport,4,76
64,c64,p64,elec,5,93
65,c65,p65,books,1,110
66,c66,p66,home,2,127
67,c67,p67,cloth,3,144
68,c68,p68,food,4,161
69,c69,p69,toys,5,178
70,c70,p70,beauty,1,195
71,c71,p71,sport,2,12
72,c72,p72,elec,3,29
73,c73,p73,books,4,46
74,c74,p74,home,5,63
75,c75,p75,cloth,1,80
76,c76,p76,food,2,97
77,c77,p77,toys,3,114
78,c78,p78,beauty,4,131
79,c79,p79,sport,5,148
80,c80,p80,elec,1,165
81,c81,p81,books,2,182
82,c82,p82,home,3,199
83,c83,p83,cloth,4,16
84,c84,p84,food,5,33
85,c85,p85,toys,1,50
86,c86,p86,beauty,2,67
87,c87,p87,sport,3,84
88,c88,p88,elec,4,101
89,c89,p89,books,5,118
90,c90,p90,home,1,135
91,c91,p91,cloth,2,152
92,c92,p92,food,3,169
93,c93,p93,toys,4,186
94,c94,p94,beauty,5,203
95,c95,p95,sport,1,20
96,c96,p96,elec,2,37
97,c97,p97,books,3,54
98,c98,p98,home,4,71
99,c99,p99,cloth,5,88
100,c100,p100,food,1,105
101,c101,p101,toys,2,122
102,c102,p102,beauty,3,139
103,c103,p103,sport,4,156
104,c104,p104,elec,5,173
105,c105,p105,books,1,190
106,c106,p106,home,2,7
107,c107,p107,cloth,3,24
108,c108,p108,food,4,41
109,c109,p109,toys,5,58
110,c110,p110,beauty,1,75
111,c111,p111,sport,2,92
112,c112,p112,elec,3,109
113,c113,p113,books,4,126
114,c114,p114,home,5,143
115,c115,p115,cloth,1,160
116,c116,p116,food,2,177
117,c117,p117,toys,3,194
118,c118,p118,beauty,4,11
119,c119,p119,sport,5,28
120,c120,p120,elec,1,45
121,c121,p121,books,2,62
122,c122,p122,home,3,79
123,c123,p123,cloth,4,96
124,c124,p124,food,5,113
125,c125,p125,toys,1,130
126,c126,p126,beauty,2,147
127,c127,p127,sport,3,164
128,c128,p128,elec,4,181
129,c129,p129,books,5,198
130,c130,p130,home,1,15
131,c131,p131,cloth,2,32
132,c132,p132,food,3,49
133,c133,p133,toys,4,66
